n-gram_size,opcodes_to_match,class_threshold,WHOLESET-accuracy,WHOLESET-TPR,WHOLESET-FPR,WHOLESET-F1_score,SUBSET-accuracy,SUBSET-TPR,SUBSET-FPR,SUBSET-F1_score
6,5/6,0.05,53.46875,99.6875,92.75,68.2049374410151,54.34375,100,91.3125,68.6966397838071
6,5/6,0.1,54.34375,99.0625,90.375,68.4869041945823,55.09375,99.375,89.1875,68.9211128714444
6,5/6,0.15,57.40625,97.9375,83.125,69.7469186112555,56.71875,97.9375,84.5,69.4120101736454
6,5/6,0.2,65.9375,98.3125,66.4375,74.4157758392443,67.125,97.125,62.875,74.8418631019907
6,5/6,0.25,68.4375,76.1875,39.3125,70.489550993177,71.3125,62.5,19.875,68.168459970682
6,5/6,0.3,68.46875,55.875,18.9375,62.9810464982988,66.28125,49.8125,17.25,59.0290027773888
6,5/6,0.35,57.4375,27.1875,12.3125,37.6168202193603,53.3125,13,6.375,20.7165225966209
6,5/6,0.4,52.5,11.5625,6.5625,18.6814147280159,47.1875,0,5.625,0
6,5/6,0.45,53.125,9.25,3,15.338862754033,53.46875,10.5,3.5625,17.6327137109611
6,5/6,0.5,52.8125,8.25,2.625,14.0100960958546,54.0625,10.875,2.75,18.4818600208962
7,6/7,0.05,54,99.5625,91.5625,68.4286894720064,54.46875,100,91.0625,68.7515477225005
7,6/7,0.1,55.46875,99.375,88.4375,69.0979750824511,58.4375,100,83.125,70.7077357859795
7,6/7,0.15,58.28125,99.1875,82.625,70.4487233101931,59.84375,100,80.3125,71.4362615216059
7,6/7,0.2,64.1875,98.25,69.875,73.3668437860319,63.78125,98.25,70.6875,73.1899787485484
7,6/7,0.25,72.59375,97.4375,52.25,78.1846447490432,72.3125,98.3125,53.6875,78.1616882532131
7,6/7,0.3,79.375,96.25,37.5,82.5389038938055,82.0625,97.9375,33.8125,84.7337549930713
7,6/7,0.35,73.65625,66.6875,19.375,71.045616482721,76.6875,73.875,20.5,75.8405497753922
7,6/7,0.4,68.4375,48.6875,11.8125,59.9100113788982,70.71875,53.0625,11.625,63.9986165830394
7,6/7,0.45,69.84375,46.6875,7,60.0773174252035,73.1875,52.1875,5.8125,65.3557466859866
7,6/7,0.5,62.21875,30.125,5.6875,42.7997691446716,55.96875,17.625,5.6875,27.6553635450863
